epoch,step,train_acc_epoch,train_f1_epoch,train_loss_epoch,train_loss_step,val_acc_epoch,val_f1_epoch,val_loss
0,49,,,,0.94437175989151,,,
0,99,,,,0.9829511642456055,,,
0,149,,,,0.9493215680122375,,,
0,199,,,,0.8769900798797607,,,
0,249,,,,0.9222496747970581,,,
0,289,,,,,0.3346303403377533,0.1822897046804428,0.8849533796310425
0,289,0.3087981045246124,0.16638487577438354,0.9164414405822754,,,,
1,299,,,,1.0491595268249512,,,
1,349,,,,0.8306557536125183,,,
1,399,,,,0.9236103296279907,,,
1,449,,,,0.821674108505249,,,
1,499,,,,0.8774916529655457,,,
1,549,,,,0.9033411741256714,,,
1,579,,,,,0.3151750862598419,0.17783862352371216,0.8867294788360596
1,579,0.3645698130130768,0.22119584679603577,0.8508906364440918,,,,
2,599,,,,0.8680673241615295,,,
2,649,,,,0.8776814937591553,,,
2,699,,,,0.7704834938049316,,,
2,749,,,,0.8348723649978638,,,
2,799,,,,0.8508702516555786,,,
2,849,,,,0.7228596806526184,,,
2,869,,,,,0.29182878136634827,0.14863717555999756,0.9671711325645447
2,869,0.3918071687221527,0.2491576373577118,0.8113225698471069,,,,
3,899,,,,0.8794071674346924,,,
3,949,,,,0.8142174482345581,,,
3,999,,,,0.7774020433425903,,,
3,1049,,,,0.7353284358978271,,,
3,1099,,,,0.816824734210968,,,
3,1149,,,,0.7397927641868591,,,
3,1159,,,,,0.4153696596622467,0.25008872151374817,0.778327226638794
3,1159,0.4112624228000641,0.261528879404068,0.7863582968711853,,,,
4,1199,,,,0.657818615436554,,,
4,1249,,,,0.6196078658103943,,,
4,1299,,,,0.8480632305145264,,,
4,1349,,,,0.8242592811584473,,,
4,1399,,,,0.7396851778030396,,,
4,1449,,,,0.6506288647651672,,,
4,1449,,,,,0.3998054563999176,0.2429690659046173,0.7961628437042236
4,1449,0.43925637006759644,0.2775348424911499,0.7591936588287354,,,,
5,1499,,,,0.6002632975578308,,,
5,1549,,,,0.808758020401001,,,
5,1599,,,,0.6406839489936829,,,
5,1649,,,,0.7418156862258911,,,
5,1699,,,,0.8669272065162659,,,
5,1739,,,,,0.30544745922088623,0.1698703169822693,0.9373380541801453
5,1739,0.450281023979187,0.293972909450531,0.7383134961128235,,,,
6,1749,,,,0.7778223752975464,,,
6,1799,,,,0.7501557469367981,,,
6,1849,,,,0.6664593815803528,,,
6,1899,,,,0.8159122467041016,,,
6,1949,,,,0.8349682092666626,,,
6,1999,,,,0.7387927770614624,,,
6,2029,,,,,0.42412450909614563,0.2630994915962219,0.7678340673446655
6,2029,0.45600950717926025,0.29892706871032715,0.7243437170982361,,,,
7,2049,,,,0.7466412782669067,,,
7,2099,,,,0.6299569606781006,,,
7,2149,,,,0.8328939080238342,,,
7,2199,,,,0.8247190713882446,,,
7,2249,,,,0.651593029499054,,,
7,2299,,,,0.6499415636062622,,,
7,2319,,,,,0.4747081696987152,0.339704304933548,0.6992487907409668
7,2319,0.47838306427001953,0.33726271986961365,0.6987976431846619,,,,
8,2349,,,,0.705889105796814,,,
8,2399,,,,0.5880171656608582,,,
8,2449,,,,0.7488600015640259,,,
8,2499,,,,0.4926111698150635,,,
8,2549,,,,0.7010287046432495,,,
8,2599,,,,0.7969937324523926,,,
8,2609,,,,,0.518482506275177,0.43188101053237915,0.6487658619880676
8,2609,0.49589279294013977,0.38354358077049255,0.6759639382362366,,,,
9,2649,,,,0.8105992674827576,,,
9,2699,,,,0.565209686756134,,,
9,2749,,,,0.6123552322387695,,,
9,2799,,,,0.6442681550979614,,,
9,2849,,,,0.6549990773200989,,,
9,2899,,,,1.299810528755188,,,
9,2899,,,,,0.5214007496833801,0.4463803768157959,0.6307876706123352
